"id","visit","center","kga1","kga2a","kga3a","kga4a","kga5","kga6","kga7","kga8","kga0","kga2","kga3","kga4","kga9"
"SO11520",8,"SO","PLAY OUTSIDE, SKATE, JUMP ROPE",,,,"SHE'S QUICK TO LEARN","THE WAY SHE HELPS CRAIG","WRITING AND WANTING TO HELP CLEAN UP","ABW",1,0,0,0,3/15/1995
"SO11538",8,"SO","PLAY, RIDE BIKE",,,,"HIS SCHOOL WORK - HE DOES GOOD WORK","EVERYTHING - NOTHING SPECIAL","NOTHING I CAN THINK OF","BBN",1,0,0,0,4/15/1995
"SO11566",8,"SO","RIDE GOCART - NINTENDO","ARMY - GI JOE",,,"GREAT CHILD - GOOD IN SCHOOL - GOOD WITH OTHERS","WAY HE CARES ABOUT PEOPLE","PLAYING WITH OTHERS","DL",1,1,0,0,2/15/1995
"SO11577",8,"SO","PLAY SCHOOL","PLAY HOUSE DRESSUP","WHEN ALONE - PLAY GAMES TOGETHER",,"VERY RESPONSIBLE","HER PERSONALITY","READING","DL",1,1,2,0,7/15/1995
"SO11581",8,"SO","PLAY OUTSIDE (BIKE, SKATE, BASKETBALL)","DOLLS - BARBIE",,,"SMART","SMILES ALL THE TIME; HAPPY KID","SCHOOL WORK (WRITING)","TBL",1,2,0,0,5/15/1995
"SO11599",8,"SO","EATING & MOVE OUTS - ENTERTAINMENT PLACE","CARD GAMES",,,"ADVANCEMENT - LISTEN AND IS REAL INQUISITIVE","TACTFUL WITH AKILLS - INTELLIGENCE","SCHOOL AND HOME - INSIDE AND OUTSIDE LIVING - LEARNING","DMP",1,1,0,0,5/15/1995
"SO11600",8,"SO","PLAY AT THE PARK",,,,"HE TAKES CARE OF HER; HE'S LEARNED TO BE HELPFUL","HE'S SWEET","HE'S GOOD AT BEING HELPFUL","LTP",1,0,0,0,5/15/1995
"SO11613",8,"SO","RIDE HIS BIKE, PLAY GAMES, LIKES TO BE OUTSIDE",,,,"HE'S A VERY MATURE LITTLE BOY FOR HIS AGE, HE'S VERY RESPONSIBLE","HE'S A SMART, HEALTHY LITTLE BOY","HE LISTENS WELL, IF I AM DOWN IN DUMPS, HE TRIES TO HELP AS MUCH AS HE CAN","BBN",1,0,0,0,3/15/1995
"SO11621",8,"SO","LIKE TO PLAY OUTSIDE, RIDE BICYCLE.","PLAY MAMA AND DAUGHTER",,,"SHE'S A VERY SWEET STUDENT, ALWAYS DOES HER HOMEWORK","SHE'S VERY MALESABLE","CLEANING UP","BBN",1,1,0,0,3/15/1995
"SO11637",8,"SO","RIDE HER BIKE, GO TO PARK, LIKES TO PLAY CARS, PLAY HOUSE","HOUSE DOLLS",,,"I'M PROUD OF EVERYTHING SHE DOES. I'M REAL PROUD SHE'S THE OLDEST AND SHE","HER BEHAVIOR","SHE'S RIGHT SMART AT EVERYTHING. SHE CLEANS BETTER THAN ANYBODY","BN",1,1,0,0,3/15/1995
"SO11649",8,"SO","PLAY OUTSIDE, RIDE HER BIKE, GO TO HER GRANDMOTHER'S HOUSE","SCHOOL, WHERE SHE IS TEACHER",,,"HER INDEPENDENCE AND HER WILLINGNESS TO HELP OUT","HER LOVING SPIRIT","HELPING OTHERS","MCP",1,1,0,0,4/15/1995
"SO11654",8,"SO","WATCH TV, PLAY WITH HIS TOYS, PLAY WITH ME",,,,"THE WAY HE TAKES CARE OF HIMSELF AND IS MOVING ALONG IN SCHOOL","HE'S GOOD","============================================================================","MCP",1,0,0,0,4/15/1995
"SO11665",8,"SO","WRITE, WATCH CARTOONS","DOLLS",,,"SCHOOL WORK","PERSONALITY","WRITING","TBL",1,1,0,0,4/15/1995
"SO11676",8,"SO","PLAY BASKETBALL AND RIDE HIS BIKE","POLICE, GAS STATION, ETC.",,,"THAT HE LEARNED TO TALK WHEN HE WAS ABOUT 5","THE WAY HE'S LEARNING IN HIS SPECIAL CLASS","RIDING BIKE","TBL",1,1,0,0,4/15/1995
"SO11682",8,"SO","PLAY VIDEOS, BASKETBALL, LOOK AT TV","ACTS OUT BEING OTHER PEOPLE (LIKE HIS MOTHER)",,,"HE HAS STARTED CARING ABOUT HOW HE LOOKS AND DRESSES","HIS SMILE","HE'S GOOD COMPANY; LIKES TO HELP LITTLE CHILDREN","BBN",1,1,0,0,4/15/1995
"SO11717",8,"SO","PLAY WITH HIS NINTENDO, PLAY OUTSIDE","PRETEND HE IS A POWER RANGER",,,"HOW WELL HE DOES IN SCHOOL; HIS TEACHERS LOVE HIM","HIS PLEASANT DISPOSITION","CHARMING GROWN-UPS - GETTING HIS WY","ABW",1,1,0,0,2/15/1995
"SO11740",8,"SO","PLAY NEXT DOOR AND OUTSIDE","CARTOON CHARACTERS",,,"HER INDEPENDENCE","HER PERSONALITY","TRYING TO SUCCEED - KEEP TRYING UNTIL SHE CAN ACCOMPLISH HER TASK","DMP",1,1,0,0,6/15/1995
"SO11758",8,"SO","PLAYING OUTSIDE",,,,"DOING GOOD IN SCHOOL","WHEN SHE GETS ALONG WITH PEOPLE AND TELLS THE TRUTH","DOING HER HOMEWORK ALONE","GSL",1,0,0,0,4/15/1995
"SO11786",8,"SO","PLAY, READ BOOKS","SCHOOL",,,"SHE'S SMART, LEARNS EASILY","SHE TRIES TO GET ALONG WITH EVERYBODY","CLEANING - SHE TRIES TO SURPRISE ME BY HELPING OUT","BBN",1,1,0,0,5/15/1995
"SO11794",8,"SO","PLAY NINTENDO, GO TO BOYS AND GIRLS CLUB","CARS AND TRUCKS",,,"HE RESPECTS HIS TEACHER MORE-HE DOESN'T WET THE BED EVERY NIGHT","ENTHUSIASIM","MATH","BBN",1,1,0,0,4/15/1995
"SO11819",8,"SO","GO OVER TO HER GRANDMOTHERS - MOVIES","SHE'S A MOTHER",,,"HER INTELLIGENCE","ATHLETIC ABILITIES","READING AND RUNNING","DMP",1,1,0,0,9/15/1995
"SO11843",8,"SO","READ, RIDE BIKE","POWER RANGERS",,,"SMART, INTELLIGENT","HE'S MY BOY","READING","DL",1,1,0,0,5/15/1995
"SO11864",8,"SO","WATCH TV, PLAY BARBIES","PLAYING WITH DOLLS",,,"THE IMPROVEMENT IN HER BEHAVIOR - DRESSES HERSELF AND IS COOPERATIVE","EVERYTHING - WHEN SHE HELPS ME AROUND THE HOUSE","EATING - SHE CAN SING","BBN",1,1,0,0,3/15/1995
