"center","id","visit","WRAA1","WRAA3","WRAA4","AGE_MO","READ_AS","READ_STD","MATH_AS","MATH_STD","WRAB1","WRAB3"
"MW","MW00272",16,,,,191,501,80,,,1,34
"MW","MW00286",12,1,48,32,145,527,124,502,89,,
"MW","MW00286",16,,,,191,531,118,,,1,51
"MW","MW00327",12,1,37,34,148,505,97,508,94,,
"MW","MW00331",16,,,,191,506,89,,,1,38
"MW","MW00355",12,1,49,41,144,529,127,520.3,114,,
"MW","MW00355",16,,,,190,527,111,,,1,48
"MW","MW00364",12,1,33,40,147,500,87,518,111,,
"MW","MW00364",16,,,,191,511,93,,,1,40
"MW","MW00370",12,1,20,25,142,466,54,492,72,,
"MW","MW00370",16,,,,191,476,59,,,1,25
"MW","MW00388",12,1,39,40,151,509,102,518,111,,
"MW","MW00388",16,,,,199,506,86,,,1,38
"MW","MW00408",12,1,43,38,147,515,112,514,106,,
"MW","MW00408",16,,,,188,520,104,,,1,45
"MW","MW00416",12,1,30,36,143,489,80,511,104,,
"MW","MW00416",16,,,,190,501,80,,,1,34
"MW","MW00429",12,1,47,37,151,524,122,513.3,103,,
"MW","MW00429",16,,,,192,515,97,,,1,43
"MW","MW00441",12,1,47,36,149,524,122,511,100,,
"MW","MW00457",12,1,35,33,150,502,92,506,92,,
"MW","MW00457",16,,,,197,506,86,,,1,38
"MW","MW00462",12,1,42,38,155,514,109,514,106,,
"MW","MW00462",16,,,,191,517.7,102,,,1,44
"MW","MW00473",16,,,,189,502,82,,,1,35
"MW","MW00485",16,,,,189,512,95,,,1,41
"MW","MW00503",12,1,36,39,148,504,94,515,108,,
"MW","MW00503",16,,,,191,511,93,,,1,40
"MW","MW00511",12,1,46,36,,522,,511,,,
"MW","MW00511",16,,,,196,529,110,,,1,49
"MW","MW00524",12,1,28,24,143,483,74,487,69,,
"MW","MW00524",16,,,,190,489,71,,,1,30
"MW","MW00539",16,,,,190,529,113,,,1,49
"MW","MW00546",12,1,40,35,143,511,105,509,101,,
"MW","MW00546",16,,,,191,514,98,,,1,42
"MW","MW00552",12,1,23,22,142,474,61,481,63,,
"MW","MW00552",16,,,,190,486,68,,,1,29
"MW","MW00580",12,1,39,38,144,509,102,514,106,,
"MW","MW00580",16,,,,190,522,106,,,1,46
"MW","MW00595",16,,,,189,502,82,,,1,35
"MW","MW00612",12,1,37,35,144,505,97,509,97,,
"MW","MW00612",16,,,,179,,,,,1,40
"MW","MW00638",12,1,45,36,,520,,511,,,
"MW","MW00638",16,,,,190,524,109,,,1,47
"MW","MW00645",12,1,30,25,142,489,80,492,72,,
"MW","MW00645",16,,,,195,489,69,,,1,30
"MW","MW00653",12,1,32,28,144,497,84,495,78,,
"MW","MW00653",16,,,,190,514,98,,,1,42
"MW","MW00699",16,,,,190,522,106,,,1,46
"MW","MW00718",12,1,29,30,143,486,77,499,87,,
"MW","MW00718",16,,,,190,486,68,,,1,29
"MW","MW00726",16,,,,191,520,104,,,1,45
"MW","MW00744",16,,,,192,483,65,,,1,28
"MW","MW00771",12,1,39,36,142,509,103,511,104,,
"MW","MW00771",16,,,,190,512,95,,,1,41
"MW","MW00807",12,1,35,30,125,502,,499,,,
"MW","MW00807",16,,,,191,506,89,,,1,38
"MW","MW00830",12,1,39,36,152,509,102,511,100,,
"MW","MW00856",12,1,46,36,142,522,121,511,104,,
"MW","MW00863",12,1,43,31,142,515,113,500,90,,
"MW","MW00874",12,1,30,31,141,489,80,500,90,,
"MW","MW00874",16,,,,190,500,77,,,1,33
"MW","MW00891",12,1,35,30,142,502,93,499,87,,
"MW","MW00891",16,,,,190,505,86,,,1,37
"MW","MW00947",12,1,37,31,143,505,98,500,90,,
"MW","MW00947",16,,,,191,505,86,,,1,37
"MW","MW00968",12,1,39,34,143,509,103,508,99,,
"MW","MW00968",16,,,,191,511,93,,,1,40
"MW","MW00979",12,1,32,32,141,497,85,502,93,,
"MW","MW00979",16,,,,190,501,80,,,1,34
"MW","MW01033",12,1,42,27,149,514,109,494,75,,
"MW","MW01040",12,1,36,35,144,504,94,509,97,,
"MW","MW01040",16,,,,191,509,91,,,1,39
"MW","MW01061",12,1,23,26,149,474,62,493,72,,
"MW","MW01086",12,1,38,38,153,506,99,514,106,,
"MW","MW01105",12,1,38,38,141,506,100,514,110,,
"MW","MW01118",12,1,22,31,144,473,59,500,86,,
"MW","MW01144",12,1,45,33,142,520,118,506,96,,
"MW","MW01144",16,,,,190,509,91,,,1,39
"MW","MW01193",12,1,35,36,142,502,93,511,104,,
"MW","MW01200",12,1,35,37,144,502,92,513.3,103,,
"MW","MW01249",16,,,,202,502,80,,,1,35
"MW","MW01276",12,1,35,29,142,502,93,497,84,,
"MW","MW01276",16,,,,190,502,82,,,1,35
"MW","MW01302",12,1,26,34,141,480,69,508,99,,
"MW","MW01302",16,,,,190,483,66,,,1,28
"MW","MW01323",12,1,39,42,146,509,102,521,117,,
"MW","MW01335",12,1,33,33,153,500,87,506,92,,
"MW","MW01347",12,1,33,34,141,500,87,508,99,,
"MW","MW01347",16,,,,190,502,82,,,1,35
"MW","MW01351",12,1,31,30,144,491,82,499,83,,
"MW","MW01351",16,,,,191,491,73,,,1,31
"MW","MW01420",12,1,26,26,142,480,69,493,75,,
"MW","MW01420",16,,,,190,502,82,,,1,35
"MW","MW01438",12,1,40,35,141,511,105,509,101,,
"MW","MW01438",16,,,,191,511,93,,,1,40
"MW","MW01481",12,1,36,25,143,504,95,492,72,,
"MW","MW01528",16,,,,191,506,89,,,1,38
"MW","MW01542",12,1,36,25,145,504,94,492,69,,
"MW","MW01591",12,1,39,32,142,509,103,502,93,,
"MW","MW01591",16,,,,191,501,80,,,1,34
"MW","MW01608",16,,,,192,515,97,,,1,43
"MW","MW01629",12,1,38,36,146,506,99,511,100,,
"MW","MW01629",16,,,,197,509,88,,,1,39
"MW","MW01634",16,,,,191,524,109,,,1,47
"MW","MW01657",12,1,31,27,141,491,82,494,78,,
"MW","MW01657",16,,,,190,491,73,,,1,31
"MW","MW01673",12,1,38,30,157,506,94,499,78,,
"MW","MW01673",16,,,,190,524,109,,,1,47
"MW","MW01685",12,1,31,31,142,491,82,500,90,,
"MW","MW01685",16,,,,191,501,80,,,1,34
