"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"SO","SO10303","BBN",16,4,5,4,5,5,5,5,5,4,4,1/15/2004
"SO","SO10311","DJL",16,2,3,1,2,2,2,4,2,4,4,8/15/2003
"SO","SO10346","DJL",16,5,5,4,5,5,5,5,5,5,5,7/15/2003
"SO","SO10367","MEL",16,5,5,1,4,5,1,1,4,4,5,3/15/2003
"SO","SO10378","MEL",16,4,4,5,5,5,3,5,5,5,1,3/15/2003
"SO","SO10400","BBN",16,4,4,4,4,4,4,5,4,3,3,2/15/2003
"SO","SO10413","BBN",16,3,3,3,3,3,3,4,4,3,3,6/15/2003
"SO","SO10421","MEL",16,4,5,2,5,5,5,5,5,5,5,4/15/2003
"SO","SO10437","MEL",16,5,5,5,5,5,5,5,5,5,5,3/15/2003
"SO","SO10449","MEL",16,5,5,1,5,5,5,5,5,1,5,4/15/2003
"SO","SO10465","MEL",16,5,5,2,5,5,5,3,5,3,5,4/15/2003
"SO","SO10476","MEL",16,5,5,5,5,5,5,5,5,5,5,4/15/2003
"SO","SO10498","MEL",16,5,5,2,5,3,5,4,1,4,1,7/15/2003
"SO","SO10519","MEL",16,5,5,5,5,5,5,5,5,5,5,5/15/2003
"SO","SO10527","ABW",16,5,5,5,5,5,5,5,4,5,5,3/15/2003
"SO","SO10531","ABW",16,5,5,,5,5,5,5,3,2,5,1/15/2003
"SO","SO10543","ABW",16,4,4,3,4,4,4,5,5,5,5,1/15/2003
"SO","SO10607","BBN",16,5,5,5,4,2,5,5,5,2,3,3/15/2003
"SO","SO10628","BBN",16,5,5,5,5,5,5,5,5,5,5,8/15/2003
"SO","SO10642","BBN",16,5,5,5,5,5,5,5,5,5,5,9/15/2003
"SO","SO10656","BBN",16,4,4,4,5,5,5,5,4,4,5,8/15/2003
"SO","SO10674","BBN",16,5,5,5,5,5,5,5,5,5,5,8/15/2003
"SO","SO10689","BBN",16,5,5,5,5,4,5,5,5,4,5,6/15/2003
"SO","SO10702","BBN",16,1,1,1,2,,1,2,1,2,2,2/15/2003
"SO","SO10735","DJL",16,4,5,3,5,5,5,4,3,3,3,8/15/2003
"SO","SO10784","DJL",16,1,5,5,3,5,3,5,5,1,3,5/15/2003
