EA45250EA6 0 21                             0C                            G2                              11155555555551555115 111547ADS15-May-1995
EA45269EA6 8 01                             0C                            N2                              113445555453411151155111588ADS15-Nov-1994
EA45275EA611 01                             0C                             1                              445454445351515555154111529LMM15-Sep-1994
EA45283EA6 4 01                             0C                            H2                              151553351111151111511555579ADS15-Sep-1994
EA45303EA6 0 21                             0C                            N3                              353333535323353323343133221DNG15-Feb-1996
EA45311EA625 01                             1E                             3                              115555545551355555553111111SLA15-Aug-1996
EA45346EA6 0 41                             0C                            H2                              334324433333324442244111399BEB15-Dec-1996
EA45352EA612 01                             0C                             1                              132455321355414551355111399DNG15-Feb-1996
EA45378EA6 0 31                             0C                            G3                              343555322341445531154222481DNG15-Jun-1996
EA45380EA6 0 51                             1C                            N3                              111155115311335551115111588JRB15-Nov-1995
EA45395EA6 6 91                             0C                            G2                              151355345111151115544241526NLG15-Sep-1996
EA45400EA6 0114GHETTO                       0C                             2                              151555535115151145144555223DNG15-Apr-1995
EA45413EA6 0 11                             0A                            H2                              333445541331415553144232348CET15-Nov-1996
EA45437EA6 0 21                             0C                            N2                              135555555553515553155311381BST15-Nov-1996
EA45454EA639 01                             0C                            N1                              224415555345333423444323291JAS15-Feb-1997
EA45465EA6 4 01                             0A                            G2                              433324233233153234432454327DNG15-May-1995
EA45476EA6 0101                             0C                            N2                              225555555555545551155224191BST15-Oct-1996
EA45498EA623 01                             0B                            G2                              144455555111155131513153511JRB15-Apr-1996
EA45506EA639 01                             1C                            N1                              555555554554433434133222391NLG15-Sep-1996
EA45527EA6 6 01                             0C                            N1                              153415315311151115533123526CET15-May-1997
EA45531EA6 0101                             0C                             2                              151315334111151115511555316BEB15-Jan-1997
EA45570EA6 1 01                             1B                            N2                              345555555544432452355121181JRB15-Dec-1995
EA45588EA621 01                             0B                            H2                              151555545354434443553111511BEB15-May-1997
EA45607EA6 1 31                             0C                            N2                              111113111112312331335111588CET15-May-1997
EA45628EA6 3 01                             0FHOUSE BROKEN INTO APARTMENTSN2                              153424223111153114542432519MMT15-Sep-1996
EA45630EA6 5 01                             0C                            N2                              243344445322242333422333316DNG15-May-1996
EA45642EA6 0 31                             0B                            G2                              151335313311153124533322596BST15-Apr-1996
EA45663EA6 4 01                             0C                            H2                              153445545333415233515535519DNG15-Jul-1996
EA45674EA6 6 01                             0C                            N2                              334445555553153343454252311MMT15-Jan-1997
EA45689EA6 0 12                             0C                             2                              221122444341515453154132599CET15-Jan-1998
